ticker,company,# of earnings,% of positive impact of earnings,# of positive surprise earnings,% of positive impact of earnings when positive surprise,# of negative surprise earnings,% of positive impact of earnings when negative surprise,correlated_goodness
CSX,C S X CORP,112,0.5357142857142857,52,0.5961538461538461,9,0.3333333333333333,0.5357142857142857
DTE,D T E ENERGY CO,112,0.5357142857142857,62,0.5645161290322581,45,0.5333333333333333,0.5357142857142857
WHR,WHIRLPOOL CORP,112,0.4642857142857143,77,0.4805194805194805,33,0.42424242424242425,0.5357142857142857
EFX,EQUIFAX INC,112,0.4642857142857143,74,0.44594594594594594,6,0.16666666666666666,0.5357142857142857
NSC,NORFOLK SOUTHERN CORP,112,0.5357142857142857,74,0.5675675675675675,26,0.5,0.5357142857142857
ITW,ILLINOIS TOOL WORKS INC,112,0.5357142857142857,83,0.5903614457831325,10,0.3,0.5357142857142857
HD,HOME DEPOT INC,112,0.4642857142857143,80,0.4375,9,0.6666666666666666,0.5357142857142857
LNC,LINCOLN NATIONAL CORP,112,0.5357142857142857,71,0.6338028169014085,36,0.3333333333333333,0.5357142857142857
GPS,GAP INC,112,0.4642857142857143,73,0.5068493150684932,8,0.375,0.5357142857142857
LEN,LENNAR CORP,114,0.4649122807017544,85,0.4823529411764706,23,0.43478260869565216,0.5350877192982456
PSX,PHILLIPS 66,43,0.46511627906976744,36,0.5277777777777778,7,0.14285714285714285,0.5348837209302326
AWK,AMERICAN WATER WORKS CO INC,58,0.46551724137931033,30,0.6,14,0.35714285714285715,0.5344827586206897
CBRE,C B R E GROUP INC,73,0.5342465753424658,53,0.5660377358490566,16,0.375,0.5342465753424658
TPR,TAPESTRY INC,88,0.5340909090909091,72,0.5416666666666666,5,0.8,0.5340909090909091
MET,METLIFE INC,90,0.5333333333333333,65,0.6153846153846154,18,0.2222222222222222,0.5333333333333333
UDR,U D R INC,77,0.4675324675324675,37,0.5405405405405406,33,0.3939393939393939,0.5324675324675325
BBY,BEST BUY COMPANY INC,109,0.5321100917431193,71,0.5774647887323944,14,0.35714285714285715,0.5321100917431193
KMI,KINDER MORGAN INC,47,0.5319148936170213,16,0.375,25,0.56,0.5319148936170213
BWA,BORGWARNER INC,111,0.5315315315315315,69,0.6086956521739131,11,0.36363636363636365,0.5315315315315315
CLX,CLOROX CO,111,0.46846846846846846,80,0.5125,17,0.47058823529411764,0.5315315315315315
GLW,CORNING INC,111,0.5315315315315315,78,0.5384615384615384,11,0.45454545454545453,0.5315315315315315
MCK,MCKESSON H B O C INC,111,0.5315315315315315,75,0.6,27,0.37037037037037035,0.5315315315315315
ADM,ARCHER DANIELS MIDLAND CO,111,0.5315315315315315,65,0.5076923076923077,40,0.625,0.5315315315315315
QRVO,QORVO INC,32,0.53125,31,0.5483870967741935,1,0.0,0.53125
MAR,MARRIOTT INTERNATIONAL INC NEW,100,0.47,71,0.49295774647887325,10,0.4,0.53
CMCSA,COMCAST CORP NEW,104,0.5288461538461539,68,0.5,19,0.631578947368421,0.5288461538461539
CE,CELANESE CORP DEL,70,0.5285714285714286,58,0.5517241379310345,10,0.4,0.5285714285714286
EXR,EXTRA SPACE STORAGE INC,70,0.5285714285714286,53,0.5849056603773585,13,0.23076923076923078,0.5285714285714286
DOV,DOVER CORP,106,0.4716981132075472,86,0.5232558139534884,12,0.16666666666666666,0.5283018867924528
WY,WEYERHAEUSER CO,110,0.4727272727272727,73,0.5068493150684932,27,0.4444444444444444,0.5272727272727273
VNO,VORNADO REALTY TRUST,74,0.47297297297297297,41,0.5365853658536586,31,0.3548387096774194,0.527027027027027
CPB,CAMPBELL SOUP CO,112,0.4732142857142857,72,0.5,21,0.47619047619047616,0.5267857142857143
VZ,VERIZON COMMUNICATIONS INC,112,0.5267857142857143,63,0.5238095238095238,18,0.6111111111111112,0.5267857142857143
BAX,BAXTER INTERNATIONAL INC,112,0.5267857142857143,75,0.5733333333333334,10,0.5,0.5267857142857143
EXC,EXELON CORP,112,0.5267857142857143,66,0.5303030303030303,37,0.5405405405405406,0.5267857142857143
KO,COCA COLA CO,112,0.4732142857142857,70,0.45714285714285713,1,1.0,0.5267857142857143
PCAR,PACCAR INC,112,0.5267857142857143,88,0.5340909090909091,15,0.6,0.5267857142857143
BA,BOEING CO,112,0.4732142857142857,80,0.425,26,0.5769230769230769,0.5267857142857143
SPGI,S & P GLOBAL INC,112,0.5267857142857143,92,0.5108695652173914,6,0.6666666666666666,0.5267857142857143
CL,COLGATE PALMOLIVE CO,112,0.5267857142857143,51,0.5686274509803921,2,1.0,0.5267857142857143
JNJ,JOHNSON & JOHNSON,112,0.5267857142857143,93,0.5483870967741935,4,0.25,0.5267857142857143
IP,INTERNATIONAL PAPER CO,112,0.4732142857142857,81,0.43209876543209874,18,0.6111111111111112,0.5267857142857143
PEG,PUBLIC SERVICE ENTERPRISE GP INC,112,0.4732142857142857,69,0.4782608695652174,34,0.47058823529411764,0.5267857142857143
CMS,C M S ENERGY CORP,112,0.5267857142857143,67,0.5671641791044776,31,0.41935483870967744,0.5267857142857143
ROK,ROCKWELL AUTOMATION INC,112,0.5267857142857143,85,0.5176470588235295,21,0.5238095238095238,0.5267857142857143
TXT,TEXTRON INC,112,0.4732142857142857,83,0.40963855421686746,16,0.625,0.5267857142857143
D,DOMINION ENERGY INC,112,0.5267857142857143,67,0.5671641791044776,34,0.4411764705882353,0.5267857142857143
MGM,M G M RESORTS INTERNATIONAL,112,0.4732142857142857,65,0.5230769230769231,35,0.4,0.5267857142857143
HON,HONEYWELL INTERNATIONAL INC,112,0.5267857142857143,69,0.5072463768115942,4,0.0,0.5267857142857143
MMC,MARSH & MCLENNAN COS INC,112,0.4732142857142857,71,0.4647887323943662,15,0.4,0.5267857142857143
CDNS,CADENCE DESIGN SYSTEMS INC,112,0.5267857142857143,90,0.5555555555555556,3,0.3333333333333333,0.5267857142857143
INTC,INTEL CORP,112,0.4732142857142857,85,0.49411764705882355,15,0.26666666666666666,0.5267857142857143
ADI,ANALOG DEVICES INC,112,0.4732142857142857,78,0.5256410256410257,18,0.3333333333333333,0.5267857142857143
AMGN,AMGEN INC,112,0.4732142857142857,85,0.4588235294117647,13,0.46153846153846156,0.5267857142857143
SLB,SCHLUMBERGER LTD,114,0.5263157894736842,79,0.569620253164557,12,0.5,0.5263157894736842
PSA,PUBLIC STORAGE,78,0.47435897435897434,47,0.6382978723404256,29,0.2413793103448276,0.5256410256410257
YUM,YUM BRANDS INC,101,0.4752475247524752,72,0.5416666666666666,23,0.2608695652173913,0.5247524752475248
IRM,IRON MOUNTAIN INC NEW,101,0.4752475247524752,54,0.5555555555555556,27,0.4074074074074074,0.5247524752475248
KLAC,K L A CORP,111,0.5225225225225225,94,0.5319148936170213,8,0.5,0.5225225225225225
COST,COSTCO WHOLESALE CORP NEW,111,0.4774774774774775,66,0.5303030303030303,21,0.38095238095238093,0.5225225225225225
HBAN,HUNTINGTON BANCSHARES INC,111,0.4774774774774775,49,0.5306122448979592,37,0.3783783783783784,0.5225225225225225
MRK,MERCK & CO INC NEW,111,0.4774774774774775,72,0.4444444444444444,7,0.2857142857142857,0.5225225225225225
DVN,DEVON ENERGY CORP NEW,111,0.5225225225225225,85,0.5529411764705883,17,0.47058823529411764,0.5225225225225225
EIX,EDISON INTERNATIONAL,111,0.4774774774774775,72,0.5277777777777778,36,0.3333333333333333,0.5225225225225225
RHI,ROBERT HALF INTERNATIONAL INC,111,0.4774774774774775,72,0.6111111111111112,13,0.23076923076923078,0.5225225225225225
UAL,UNITED AIRLINES HOLDINGS INC,67,0.47761194029850745,46,0.5217391304347826,19,0.3684210526315789,0.5223880597014925
MPC,MARATHON PETROLEUM CORP,46,0.5217391304347826,36,0.5555555555555556,9,0.4444444444444444,0.5217391304347826
AKAM,AKAMAI TECHNOLOGIES INC,92,0.4782608695652174,69,0.5797101449275363,11,0.2727272727272727,0.5217391304347826
AIZ,ASSURANT INC,75,0.52,56,0.5535714285714286,17,0.35294117647058826,0.52
ESS,ESSEX PROPERTY TRUST INC,77,0.4805194805194805,60,0.5333333333333333,16,0.3125,0.5194805194805194
DGX,QUEST DIAGNOSTICS INC,104,0.4807692307692308,76,0.47368421052631576,12,0.4166666666666667,0.5192307692307692
GILD,GILEAD SCIENCES INC,108,0.48148148148148145,65,0.6,16,0.125,0.5185185185185186
EL,LAUDER ESTEE COS INC,108,0.5185185185185185,77,0.5844155844155844,6,0.6666666666666666,0.5185185185185185
ADSK,AUTODESK INC,110,0.5181818181818182,87,0.5632183908045977,10,0.4,0.5181818181818182
XRAY,DENTSPLY SIRONA INC,110,0.5181818181818182,56,0.6428571428571429,14,0.42857142857142855,0.5181818181818182
STT,STATE STREET CORP,112,0.5178571428571429,84,0.5476190476190477,11,0.2727272727272727,0.5178571428571429
CSCO,CISCO SYSTEMS INC,112,0.5178571428571429,92,0.532608695652174,1,0.0,0.5178571428571429
K,KELLOGG CO,112,0.5178571428571429,71,0.5352112676056338,15,0.4666666666666667,0.5178571428571429
RCL,ROYAL CARIBBEAN CRUISES LTD,112,0.5178571428571429,80,0.525,24,0.5,0.5178571428571429
BIIB,BIOGEN INC,112,0.5178571428571429,79,0.5316455696202531,20,0.45,0.5178571428571429
HUM,HUMANA INC,112,0.5178571428571429,70,0.5714285714285714,17,0.4117647058823529,0.5178571428571429
KMB,KIMBERLY CLARK CORP,112,0.5178571428571429,73,0.5205479452054794,23,0.5217391304347826,0.5178571428571429
BEN,FRANKLIN RESOURCES INC,112,0.5178571428571429,61,0.4918032786885246,27,0.48148148148148145,0.5178571428571429
ALL,ALLSTATE CORP,112,0.5178571428571429,80,0.5875,29,0.27586206896551724,0.5178571428571429
MLM,MARTIN MARIETTA MATERIALS INC,112,0.5178571428571429,55,0.45454545454545453,55,0.5818181818181818,0.5178571428571429
GD,GENERAL DYNAMICS CORP,112,0.5178571428571429,95,0.5473684210526316,8,0.125,0.5178571428571429
EMR,EMERSON ELECTRIC CO,112,0.5178571428571429,60,0.5333333333333333,20,0.45,0.5178571428571429
AON,AON PLC NEW,112,0.5178571428571429,72,0.5416666666666666,24,0.4583333333333333,0.5178571428571429
SNA,SNAP ON INC,112,0.5178571428571429,82,0.573170731707317,13,0.3076923076923077,0.5178571428571429
HPQ,H P INC,112,0.5178571428571429,80,0.5375,12,0.5833333333333334,0.5178571428571429
CVS,C V S HEALTH CORP,112,0.5178571428571429,81,0.5185185185185185,8,0.625,0.5178571428571429
GIS,GENERAL MILLS INC,112,0.5178571428571429,61,0.5737704918032787,21,0.42857142857142855,0.5178571428571429
PAYX,PAYCHEX INC,112,0.5178571428571429,58,0.5517241379310345,9,0.5555555555555556,0.5178571428571429
LUMN,CENTURYLINK INC,112,0.48214285714285715,78,0.5384615384615384,23,0.2608695652173913,0.5178571428571428
RF,REGIONS FINANCIAL CORP NEW,112,0.48214285714285715,45,0.6222222222222222,33,0.3939393939393939,0.5178571428571428
ORCL,ORACLE CORP,112,0.48214285714285715,72,0.5972222222222222,12,0.25,0.5178571428571428
HAS,HASBRO INC,112,0.48214285714285715,70,0.5428571428571428,26,0.46153846153846156,0.5178571428571428
HES,HESS CORP,112,0.48214285714285715,70,0.5428571428571428,34,0.4411764705882353,0.5178571428571428
CTAS,CINTAS CORP,112,0.48214285714285715,62,0.5483870967741935,17,0.23529411764705882,0.5178571428571428
LOW,LOWES COMPANIES INC,112,0.48214285714285715,65,0.49230769230769234,23,0.43478260869565216,0.5178571428571428
HRL,HORMEL FOODS CORP,112,0.48214285714285715,52,0.5192307692307693,19,0.2631578947368421,0.5178571428571428
JCI,JOHNSON CONTROLS INTL PLC,112,0.48214285714285715,91,0.5054945054945055,7,0.14285714285714285,0.5178571428571428
NTRS,NORTHERN TRUST CORP,112,0.48214285714285715,62,0.4838709677419355,31,0.41935483870967744,0.5178571428571428
OMC,OMNICOM GROUP INC,112,0.48214285714285715,90,0.5111111111111111,1,1.0,0.5178571428571428
MDLZ,MONDELEZ INTERNATIONAL INC,85,0.4823529411764706,61,0.5409836065573771,8,0.25,0.5176470588235293
FIS,FIDELITY NATIONAL INFO SVCS INC,85,0.4823529411764706,57,0.5087719298245614,11,0.6363636363636364,0.5176470588235293
HPE,HEWLETT PACKARD ENTERPRISE CO,29,0.5172413793103449,21,0.5714285714285714,2,0.0,0.5172413793103449
KHC,KRAFT HEINZ CO,29,0.4827586206896552,24,0.5416666666666666,5,0.2,0.5172413793103448
TEL,T E CONNECTIVITY LTD,62,0.5161290322580645,56,0.5535714285714286,6,0.16666666666666666,0.5161290322580645
WU,WESTERN UNION CO,64,0.515625,41,0.6097560975609756,10,0.3,0.515625
TT,TRANE TECHNOLOGIES PLC,99,0.48484848484848486,78,0.47435897435897434,13,0.6153846153846154,0.5151515151515151
DLTR,DOLLAR TREE INC,101,0.5148514851485149,49,0.46938775510204084,15,0.4666666666666667,0.5148514851485149
ICE,INTERCONTINENTALEXCHANGE GRP INC,68,0.5147058823529411,48,0.4375,4,0.75,0.5147058823529411
NOV,NATIONAL OILWELL VARCO INC,105,0.5142857142857142,68,0.5147058823529411,23,0.5217391304347826,0.5142857142857142
EXPE,EXPEDIA GROUP INC,70,0.5142857142857142,45,0.6222222222222222,25,0.32,0.5142857142857142
TSCO,TRACTOR SUPPLY CO NEW,107,0.514018691588785,62,0.5967741935483871,9,0.3333333333333333,0.514018691588785
NRG,N R G ENERGY INC,72,0.4861111111111111,29,0.5862068965517241,41,0.3902439024390244,0.5138888888888888
ROP,ROPER TECHNOLOGIES INC,109,0.5137614678899083,75,0.5066666666666667,15,0.6,0.5137614678899083
SBUX,STARBUCKS CORP,109,0.5137614678899083,45,0.6444444444444445,7,0.42857142857142855,0.5137614678899083
EOG,EOG RESOURCES INC,109,0.5137614678899083,74,0.527027027027027,16,0.3125,0.5137614678899083
SJM,SMUCKER J M CO,109,0.5137614678899083,67,0.5223880597014925,27,0.48148148148148145,0.5137614678899083
APA,APACHE CORP,111,0.5135135135135135,66,0.5454545454545454,36,0.4166666666666667,0.5135135135135135
ECL,ECOLAB INC,111,0.5135135135135135,39,0.41025641025641024,16,0.625,0.5135135135135135
LEG,LEGGETT & PLATT INC,111,0.5135135135135135,60,0.6333333333333333,31,0.2903225806451613,0.5135135135135135
CDW,C D W CORP NEW,37,0.5135135135135135,34,0.5,0,-1.0,0.5135135135135135
IFF,INTERNATIONAL FLAVORS & FRAG INC,111,0.5135135135135135,62,0.532258064516129,30,0.5333333333333333,0.5135135135135135
FMC,F M C CORP,111,0.4864864864864865,79,0.5063291139240507,15,0.26666666666666666,0.5135135135135135
SBAC,S B A COMMUNICATIONS CORP NEW,90,0.5111111111111111,29,0.5862068965517241,59,0.4745762711864407,0.5111111111111111
UPS,UNITED PARCEL SERVICE INC,92,0.4891304347826087,59,0.5932203389830508,14,0.35714285714285715,0.5108695652173914
BLK,BLACKROCK INC,92,0.5108695652173914,70,0.5428571428571428,13,0.23076923076923078,0.5108695652173914
HCA,H C A HEALTHCARE INC,47,0.5106382978723404,32,0.5,14,0.5714285714285714,0.5106382978723404
VRSN,VERISIGN INC,98,0.4897959183673469,62,0.5483870967741935,17,0.4117647058823529,0.5102040816326531
TSLA,TESLA INC,49,0.4897959183673469,23,0.6086956521739131,15,0.3333333333333333,0.5102040816326531
CHTR,CHARTER COMMUNICATIONS INC NEW,51,0.49019607843137253,19,0.5789473684210527,31,0.45161290322580644,0.5098039215686274
AZO,AUTOZONE INC,108,0.5092592592592593,75,0.5333333333333333,15,0.4666666666666667,0.5092592592592593
WMB,WILLIAMS COS,110,0.4909090909090909,47,0.5106382978723404,51,0.47058823529411764,0.509090909090909
MO,ALTRIA GROUP INC,112,0.5089285714285714,51,0.5098039215686274,25,0.4,0.5089285714285714
BSX,BOSTON SCIENTIFIC CORP,112,0.5089285714285714,61,0.5081967213114754,16,0.5,0.5089285714285714
HSY,HERSHEY CO,112,0.49107142857142855,70,0.5714285714285714,16,0.25,0.5089285714285714
SO,SOUTHERN CO,112,0.49107142857142855,75,0.4533333333333333,24,0.5416666666666666,0.5089285714285714
CMI,CUMMINS INC,112,0.5089285714285714,71,0.49295774647887325,32,0.5625,0.5089285714285714
ADP,AUTOMATIC DATA PROCESSING INC,112,0.5089285714285714,56,0.5178571428571429,21,0.5238095238095238,0.5089285714285714
MDT,MEDTRONIC PLC,112,0.49107142857142855,59,0.5254237288135594,6,0.0,0.5089285714285714
GL,GLOBE LIFE INC,112,0.5089285714285714,52,0.6730769230769231,18,0.2777777777777778,0.5089285714285714
ETR,ENTERGY CORP NEW,112,0.49107142857142855,73,0.5342465753424658,33,0.42424242424242425,0.5089285714285714
DHR,DANAHER CORP,112,0.49107142857142855,78,0.46153846153846156,4,0.75,0.5089285714285714
CINF,CINCINNATI FINANCIAL CORP,112,0.49107142857142855,80,0.55,28,0.32142857142857145,0.5089285714285714
BK,BANK OF NEW YORK MELLON CORP,112,0.5089285714285714,68,0.5147058823529411,16,0.4375,0.5089285714285714
SWKS,SKYWORKS SOLUTIONS INC,112,0.5089285714285714,83,0.5301204819277109,10,0.7,0.5089285714285714
SYY,SYSCO CORP,112,0.49107142857142855,54,0.5185185185185185,25,0.48,0.5089285714285714
PPG,P P G INDUSTRIES INC,112,0.5089285714285714,85,0.5176470588235295,11,0.5454545454545454,0.5089285714285714
PFE,PFIZER INC,112,0.49107142857142855,82,0.5,10,0.4,0.5089285714285714
ROST,ROSS STORES INC,112,0.5089285714285714,48,0.6458333333333334,5,0.2,0.5089285714285714
SCHW,SCHWAB CHARLES CORP NEW,112,0.5089285714285714,45,0.5333333333333333,19,0.2631578947368421,0.5089285714285714
ARE,ALEXANDRIA REAL EST EQUITIES INC,67,0.5074626865671642,24,0.75,40,0.35,0.5074626865671642
PLD,PROLOGIS INC,77,0.4935064935064935,59,0.559322033898305,16,0.25,0.5064935064935066
CNC,CENTENE CORP DEL,83,0.4939759036144578,50,0.46,8,0.375,0.5060240963855422
EW,EDWARDS LIFESCIENCES CORP,91,0.4945054945054945,43,0.6046511627906976,8,0.125,0.5054945054945055
AME,AMETEK INC NEW,101,0.504950495049505,58,0.4482758620689655,0,-1.0,0.504950495049505
FLS,FLOWSERVE CORP,105,0.5047619047619047,53,0.6415094339622641,30,0.26666666666666666,0.5047619047619047
HSIC,SCHEIN HENRY INC,107,0.4953271028037383,73,0.5068493150684932,5,0.8,0.5046728971962617
STZ,CONSTELLATION BRANDS INC,111,0.4954954954954955,76,0.5657894736842105,12,0.25,0.5045045045045045
AXP,AMERICAN EXPRESS CO,111,0.4954954954954955,75,0.5333333333333333,15,0.4,0.5045045045045045
MSI,MOTOROLA SOLUTIONS INC,111,0.5045045045045045,92,0.5434782608695652,14,0.21428571428571427,0.5045045045045045
FITB,FIFTH THIRD BANCORP,111,0.4954954954954955,57,0.5614035087719298,17,0.5294117647058824,0.5045045045045045
AOS,SMITH A O CORP,111,0.4954954954954955,68,0.4852941176470588,10,0.3,0.5045045045045045
COP,CONOCOPHILLIPS,111,0.4954954954954955,85,0.49411764705882355,19,0.47368421052631576,0.5045045045045045
VMC,VULCAN MATERIALS CO,111,0.4954954954954955,55,0.5454545454545454,44,0.45454545454545453,0.5045045045045045
DRI,DARDEN RESTAURANTS INC,111,0.5045045045045045,78,0.5384615384615384,12,0.4166666666666667,0.5045045045045045
INCY,INCYTE CORP,111,0.4954954954954955,52,0.5,44,0.5,0.5045045045045045
DFS,DISCOVER FINANCIAL SERVICES,62,0.5,44,0.5227272727272727,16,0.4375,0.5
NVR,N V R INC,108,0.5,74,0.5135135135135135,32,0.46875,0.5
PXD,PIONEER NATURAL RESOURCES CO,8,0.5,2,0.5,6,0.5,0.5
TJX,T J X COMPANIES INC NEW,108,0.5,47,0.425531914893617,6,0.3333333333333333,0.5
NUE,NUCOR CORP,112,0.5,82,0.5121951219512195,20,0.5,0.5
FDX,FEDEX CORP,112,0.5,71,0.5774647887323944,33,0.36363636363636365,0.5
RL,RALPH LAUREN CORP,102,0.5,82,0.524390243902439,6,0.5,0.5
CMG,CHIPOTLE MEXICAN GRILL INC,68,0.5,52,0.5576923076923077,14,0.21428571428571427,0.5
NOC,NORTHROP GRUMMAN CORP,112,0.5,96,0.5208333333333334,12,0.4166666666666667,0.5
ES,EVERSOURCE ENERGY,110,0.5,51,0.6078431372549019,45,0.35555555555555557,0.5
IDXX,I D E X X LABORATORIES INC,112,0.5,75,0.48,1,0.0,0.5
QCOM,QUALCOMM INC,110,0.5,76,0.5,9,0.5555555555555556,0.5
FTI,TECHNIPFMC PLC,24,0.5,6,0.6666666666666666,17,0.47058823529411764,0.5
CCI,CROWN CASTLE INTL CORP NEW,4,0.5,0,-1.0,3,0.6666666666666666,0.5
NTAP,NETAPP INC,108,0.5,71,0.6197183098591549,5,0.0,0.5
CME,C M E GROUP INC,80,0.5,55,0.509090909090909,14,0.6428571428571429,0.5
SLG,S L GREEN REALTY CORP,72,0.5,53,0.5660377358490566,17,0.29411764705882354,0.5
IQV,IQVIA HOLDINGS INC,38,0.5,38,0.5,0,-1.0,0.5
APD,AIR PRODUCTS & CHEMICALS INC,112,0.5,80,0.5,18,0.5555555555555556,0.5
CMA,COMERICA INC,112,0.5,81,0.4691358024691358,21,0.5714285714285714,0.5
DISH,DISH NETWORK CORPORATION,102,0.5,51,0.47058823529411764,45,0.5333333333333333,0.5
MMM,3M CO,112,0.5,78,0.5512820512820513,16,0.5,0.5
TROW,T ROWE PRICE GROUP INC,112,0.5,68,0.5,28,0.4642857142857143,0.5
IPG,INTERPUBLIC GROUP COS INC,108,0.5,55,0.6545454545454545,34,0.29411764705882354,0.5
BXP,BOSTON PROPERTIES INC,76,0.5,48,0.625,23,0.30434782608695654,0.5
XOM,EXXON MOBIL CORP,112,0.5,71,0.5633802816901409,37,0.35135135135135137,0.5
LH,LABORATORY CORP AMERICA HLDGS,110,0.5,71,0.5211267605633803,19,0.3157894736842105,0.5
DE,DEERE & CO,112,0.5,87,0.4827586206896552,18,0.5555555555555556,0.5
DIS,DISNEY WALT CO,112,0.5,83,0.5421686746987951,18,0.3333333333333333,0.5
VRTX,VERTEX PHARMACEUTICALS INC,112,0.5,58,0.603448275862069,45,0.37777777777777777,0.5
KR,KROGER COMPANY,112,0.5,67,0.4626865671641791,12,0.5,0.5
LLY,LILLY ELI & CO,112,0.5,67,0.5373134328358209,17,0.47058823529411764,0.5
